STARTING APP .........

Beginning translation of logical addresses to physical addresses...
virt: 0x1409 (pg:0x14,off:0x 9)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x3b09, val:    0	  tlb_Hits:  0
virt: 0xe4ba (pg:0xe4,off:0xba)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x3cba, val:   57	  tlb_Hits:  0
virt: 0xe4d8 (pg:0xe4,off:0xd8)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x3cd8, val:    0	  tlb_Hits:  1

virt: 0x6b34 (pg:0x6b,off:0x34)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x3d34, val:    0	  tlb_Hits:  1
virt: 0xe666 (pg:0xe6,off:0x66)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x3a66, val:   57	  tlb_Hits:  2
virt: 0xc914 (pg:0xc9,off:0x14)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x3e14, val:    0	  tlb_Hits:  2
virt: 0x1a8c (pg:0x1a,off:0x8c)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x1a8c, val:    0	  tlb_Hits:  2
virt: 0x533f (pg:0x53,off:0x3f)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x233f, val:  -49	  tlb_Hits:  2

virt: 0x77f1 (pg:0x77,off:0xf1)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x3ff1, val:    0	  tlb_Hits:  2
virt: 0x7124 (pg:0x71,off:0x24)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4024, val:    0	  tlb_Hits:  2
virt: 0xa02b (pg:0xa0,off:0x2b)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x222b, val:   10	  tlb_Hits:  2
virt: 0x4f23 (pg:0x4f,off:0x23)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4123, val:  -56	  tlb_Hits:  2
virt: 0xe201 (pg:0xe2,off:0x 1)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0c01, val:    0	  tlb_Hits:  2

virt: 0xf71a (pg:0xf7,off:0x1a)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x421a, val:   61	  tlb_Hits:  2
virt: 0x8e16 (pg:0x8e,off:0x16)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x3816, val:   35	  tlb_Hits:  3
virt: 0x02b4 (pg:0x 2,off:0xb4)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x43b4, val:    0	  tlb_Hits:  3
virt: 0xa871 (pg:0xa8,off:0x71)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4471, val:    0	  tlb_Hits:  3
virt: 0xbc00 (pg:0xbc,off:0x 0)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4500, val:    0	  tlb_Hits:  3

virt: 0x8701 (pg:0x87,off:0x 1)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4601, val:    0	  tlb_Hits:  3
virt: 0xc03d (pg:0xc0,off:0x3d)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x213d, val:    0	  tlb_Hits:  3
